Symbol,Exchange
^JDCH.OS,OSA
^NQUSB30201025,NIM
^KTEAM,SNP
Q3Z2.Z,ZRH
^SG3MCET,SNP
FRTEK.PA,PAR
1OU8.Z,ZRH
DE000SL0CA83.SG,STU
DE000SL0GNU2.SG,STU
^SYNB-NV,ASE
^NDXMEGA2N,NIM
^NQUSS30201020N,NIM
H30182.SS,SHH
DE000SL0HJZ7.SG,STU
SFF10T.SW,EBS
EPAXJRUN.FGI,FGI
^NQG5510LMT,NIM
^BKTECH.KW,KUW
^RT200TR,WCB
DE000SL0KZC6.SG,STU
DE000A3CLJ62.SG,STU
^LOPP-TC,ASE
PIQA.Z,ZRH
^AWEG-NV,ASE
047G.Z,ZRH
Q180.Z,ZRH
^ECLN-TC,ASE
DE000SL0LEN6.SG,STU
^ICE5CTCT,NYS
^SPGITPY,SNP
DE000SL0LEC9.SG,STU
^NQUSB402020LM,NIM
40HX.Z,ZRH
^NQSDDIT,NIM
^NQUSB45101020LMN,NIM
DE000SL0M8N5.SG,STU
^SPBO-IV,ASE
PIQB.Z,ZRH
^NCXTHKD,NIM
^NYMIJPN,NYS
^NQUSB35102045LMT,NIM
^NYSTMFRN,NYS
^SPDLEFET,SNP
DE000SL0FVJ0.SG,STU
0ZU9.Z,ZRH
Q31H.Z,ZRH
^FLRT-NV,ASE
^CX4030GI,NIM
^NQZASC,NIM
Q2S9.Z,ZRH
DE000SL0MPN0.SG,STU
^NYSCES,NYS
X100C_CFCPTLUS.IS,IST
^IQQQ-IV,ASE
DE000SL0EEQ4.SG,STU
IPOSCN.FGI,FGI
DE000SL0G5R0.SG,STU
DE000SL0MWF2.SG,STU
^NYSTMITN,NYS
0K5K.DE,GER
MEBEG.AS,AMS
^THPI.SR,SAU
DE000SL0D2M1.SG,STU
^VXD,WCB
931163.SS,SHH
^SPGSHO,SNP
08BC.Z,ZRH
DE000SL0CWG1.SG,STU
^NQCN50LM,NIM
EZN1N.AS,AMS
^NQPH50LMN,NIM
Q3UQ.Z,ZRH
DE000SL0BQN1.SG,STU
Q7BF.Z,ZRH
445R.DE,GER
DE000SL0MKJ9.SG,STU
^FDL-TC,ASE
^NETREURMH,NIM
DE000SL0CWD8.SG,STU
^NQUSB65102000LMN,NIM
Q5L4.Z,ZRH
DE000SL0EKG2.SG,STU
Q6R.Z,ZRH
^NQDMASPAXJPLM,NIM
SD51D.SW,EBS
^TPLI,TAI
S75Y.Z,ZRH
^NQHK15,NIM
EBSE5.PA,PAR
931487.SS,SHH
^NGXNCAD,NIM
DE000SL0H7Q7.SG,STU
Q6TW.Z,ZRH
^CX10GI,NIM
^NYSCFRN,NYS
^EV-TC,ASE
^OMXSMCPI,STO
